rk,player,nation,pos,squad,age,born_year,mp,starts,min,nineties,gls,ast,g_a,g_minus_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_a_per90,g_minus_pk_per90,g_a_minus_pk_per90,g_minus_pk_per90_calc,pk_per90,pkatt_per90,crdy_per90,crdr_per90
384,Henry Kessler,us USA,DF,Charlotte,28.0,1998.0,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0
385,Hosei Kijima,jp JPN,MF,D.C. United,24.0,2002.0,6,1,105,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
386,Benjamin Kikanovic,us USA,DF,SJ Earthquakes,26.0,2000.0,16,16,1324,14.7,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0
387,Peter Kingston,us USA,MFDF,Seattle Sounders,25.0,2001.0,14,5,502,5.6,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0
388,Klauss,br BRA,FW,LA Galaxy,29.0,1997.0,8,7,546,6.1,5,0,5,5,0,0,0,0,0.82,0.0,0.82,0.82,0.82,0.82,0.0,0.0,0.0,0.0
389,Eric Klein,us USA,MF,NE Revolution,19.0,2006.0,5,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,Jordan Knight,ca CAN,DF,Nashville SC,24.0,2002.0,4,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
391,Ethan Kohler,us USA,DF,NE Revolution,21.0,2005.0,15,14,1257,14.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0
392,Žan Kolmanič,si SVN,DF,Austin FC,26.0,2000.0,9,2,301,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,Stas Korzeniowski,us USA,FW,Philadelphia,23.0,2003.0,6,1,140,1.6,0,1,1,0,0,0,0,0,0.0,0.64,0.64,0.0,0.64,0.0,0.0,0.0,0.0,0.0
394,Arif Kovac,us USA,FW,Atlanta Utd,19.0,2006.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,Theodore Ku-Dipietro,us USA,FWMF,Colorado Rapids,24.0,2002.0,4,0,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,Willy Kumado,gh GHA,MF,San Diego FC,23.0,2002.0,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397,Keisuke Kurokawa,jp JPN,DF,D.C. United,29.0,1997.0,19,19,1697,18.9,0,3,3,0,0,0,4,0,0.0,0.16,0.16,0.0,0.16,0.0,0.0,0.0,0.21,0.0
