,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
43,Tomás Avilés,ar ARG,DF,CF Montréal,22-196,2004,4,3,220,2.4,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,f51b9ae1
44,Nəriman Axundzadə,az AZE,MF,Columbus Crew,22-117,2004,7,1,117,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b7bf9318
45,David Ayala,ar ARG,MF,Inter Miami,24-023,2002,7,3,281,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,06dafc0e
46,Jeevan Badwal,ca CAN,MF,Vancouver,20-160,2006,17,14,1138,12.6,1,2,3,1,0,0,2,0,0.08,0.16,0.24,0.08,0.24,Matches,4b22382f
47,Elías Báez,ar ARG,DF,Atlanta Utd,21-304,2004,17,17,1480,16.4,1,2,3,1,0,0,5,0,0.06,0.12,0.18,0.06,0.18,Matches,ecb61924
48,Drew Baiera,us USA,DF,NYCFC,19-171,2007,3,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9e80b378
49,Cody Baker,us USA,DF,Seattle Sounders,22-223,2004,3,1,97,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fdffba5d
50,Cody Baker,us USA,DF,NE Revolution,22-223,2004,3,0,67,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fdffba5d
51,Reed Baker-Whiting,us USA,DF,Nashville SC,21-140,2005,12,5,497,5.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,816d7aec
52,Jonathan Bamba,ci CIV,MFFW,Chicago Fire,30-145,1996,13,11,939,10.4,2,2,4,2,0,0,2,0,0.19,0.19,0.38,0.19,0.38,Matches,b2bd0f6c
53,Fletcher Bank,us USA,MF,Toronto FC,23-109,2003,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1a5aec29
54,Jesús Barea,es ESP,FW,Real Salt Lake,24-112,2002,3,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,67c8818a
55,Tai Baribo,il ISR,FW,D.C. United,28-215,1998,16,15,1282,14.2,12,0,12,9,3,3,3,0,0.84,0.00,0.84,0.63,0.63,Matches,18a8e594
56,Tom Barlow,us USA,FWMF,FC Cincinnati,31-041,1995,19,6,708,7.9,6,1,7,6,0,0,2,0,0.76,0.13,0.89,0.76,0.89,Matches,da4821de
57,Leonardo Barroso,pt POR,DFMF,Chicago Fire,21-067,2005,10,10,749,8.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,6bbda3e5
58,Jacob Bartlett,us USA,MF,Sporting KC,20-315,2005,15,9,901,10.0,1,0,1,1,0,0,2,0,0.10,0.00,0.10,0.10,0.10,Matches,5b40c2a1
59,Lucas Bartlett,us USA,DF,D.C. United,29-023,1997,18,18,1616,18.0,2,0,2,2,0,0,5,0,0.11,0.00,0.11,0.11,0.11,Matches,c90615e6
60,Ethan Bartlow,us USA,DF,Sporting KC,26-197,2000,11,9,790,8.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,552898bd
61,Cole Bassett,us USA,MF,Portland Timbers,25-021,2001,15,15,1215,13.5,3,2,5,3,0,0,2,0,0.22,0.15,0.37,0.22,0.37,Matches,2c8da8a1
62,Zorhan Bassong,ca CAN,MF,Sporting KC,27-103,1999,10,8,610,6.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,6297d826
63,Josh Bauer,us USA,DF,Nashville SC,28-027,1998,14,6,506,5.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,733aa9ec
64,Timo Baumgartl,de GER,DF,St. Louis City,30-167,1996,19,19,1710,19.0,1,0,1,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,Matches,bd7d2e6d
65,Julián Bazán,co COL,DF,RB New York,20-266,2005,5,3,298,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,283da796
66,Tanner Beason,us USA,DF,NE Revolution,29-148,1997,5,0,57,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3f1b018e
67,Simon Becher,us USA,FW,St. Louis City,27-029,1999,19,18,1498,16.6,4,4,8,4,0,0,1,0,0.24,0.24,0.48,0.24,0.48,Matches,bc921182
68,Alejandro Bedoya,us USA,MF,Philadelphia,39-111,1987,11,1,217,2.4,0,2,2,0,0,0,1,0,0.00,0.83,0.83,0.00,0.83,Matches,9a6f8dfd
69,Jon Bell,jm JAM,DF,Austin FC,28-357,1997,14,7,722,8.0,2,0,2,2,0,0,1,0,0.25,0.00,0.25,0.25,0.25,Matches,658a3134
70,Ben Bender,us USA,DFMF,Philadelphia,25-164,2001,8,4,435,4.8,1,0,1,1,0,0,1,0,0.21,0.00,0.21,0.21,0.21,Matches,bc307884
71,Nehuén Benedetti,ar ARG,MF,RB New York,21-175,2005,6,0,92,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1ced6bde
72,Ramiro Benetti,br BRA,MF,FC Dallas,33-088,1993,15,13,1068,11.9,0,1,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,Matches,96d14fe7
73,Lasse Berg Johnsen,no NOR,MF,Sporting KC,27-000,1999,15,14,1223,13.6,1,0,1,1,0,0,4,1,0.07,0.00,0.07,0.07,0.07,Matches,a0b95824
74,Gustav Berggren,se SWE,MFDF,RB New York,28-345,1997,12,4,416,4.6,0,2,2,0,0,0,1,1,0.00,0.43,0.43,0.00,0.43,Matches,b8103669
