,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
293,Yuri Guboglo,ht HAI,DF,CF Montréal,19-151,2007,1,1,62,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,24686935
294,Gage Guerra,us USA,FW,Portland Timbers,23-240,2002,6,3,279,3.1,1,1,2,1,0,0,0,0,0.32,0.32,0.65,0.32,0.65,Matches,b34c473e
295,Morgan Guilavogui,gn GUI,MFFW,Real Salt Lake,28-161,1998,14,11,939,10.4,1,4,5,1,0,0,4,1,0.10,0.38,0.48,0.10,0.48,Matches,79b51257
296,Guilherme,br BRA,MFFW,Houston,31-127,1995,19,18,1600,17.8,12,5,17,11,1,1,2,0,0.68,0.28,0.96,0.62,0.90,Matches,58649f05
297,Angus Gunn,sct SCO,GK,SJ Earthquakes,30-208,1996,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e082af5b
298,Colin Guske,us USA,MF,Orlando City,19-201,2007,6,2,285,3.2,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,ebf7ddd9
299,Raul Gustavo,br BRA,DF,NYCFC,27-116,1999,15,10,966,10.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,79af412b
300,Andrew Gutman,us USA,DF,Chicago Fire,29-320,1996,14,12,1075,11.9,1,3,4,1,0,0,3,0,0.08,0.25,0.33,0.08,0.33,Matches,b7a23251
301,Justin Haak,us USA,DFMF,LA Galaxy,24-340,2001,19,17,1543,17.1,0,1,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches,c644e140
302,Taha Habroune,us USA,MFFW,Columbus Crew,20-194,2006,18,15,1283,14.3,1,2,3,1,0,0,3,0,0.07,0.14,0.21,0.07,0.21,Matches,edc3b063
303,Teenage Hadebe,zw ZIM,DF,FC Cincinnati,30-335,1995,10,3,296,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,582952f2
304,Nick Hagglund,us USA,DF,FC Cincinnati,33-338,1992,13,9,857,9.5,1,0,1,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,Matches,39632554
305,Maren Haile-Selassie,ch SUI,MFFW,Chicago Fire,27-158,1999,18,14,1272,14.1,3,4,7,3,0,0,1,0,0.21,0.28,0.50,0.21,0.50,Matches,aee414b1
306,Julian Hall,us USA,FW,RB New York,18-147,2008,19,19,1641,18.2,9,3,12,9,0,0,0,0,0.49,0.16,0.66,0.49,0.66,Matches,ea7733d4
307,Lucas Halter,br BRA,DF,Houston,26-108,2000,8,8,663,7.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,7aa882a2
308,Nicholas Hansen,dk DEN,GK,Colorado Rapids,25-039,2001,10,10,900,10.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,58d7534b
309,Ian Harkes,us USA,MF,SJ Earthquakes,31-141,1995,18,3,655,7.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,73fdc4c2
310,Cameron Harper,us USA,DFMF,RB New York,24-272,2001,3,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4a78c769
311,Nathan Harriel,us USA,DF,Philadelphia,25-117,2001,19,19,1690,18.8,1,1,2,1,0,0,4,0,0.05,0.05,0.11,0.05,0.11,Matches,b3edbeff
312,Alex Harris,us USA,FW,Colorado Rapids,21-183,2005,5,1,101,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,73ca72d5
313,Calvin Harris,eng ENG,FWMF,Sporting KC,26-151,2000,19,17,1455,16.2,2,3,5,2,0,0,2,0,0.12,0.19,0.31,0.12,0.31,Matches,07b0aeef
314,Wilson Harris,us USA,FW,NE Revolution,26-263,1999,5,0,81,0.9,1,0,1,1,0,0,1,0,1.11,0.00,1.11,1.11,1.11,Matches,ca0756aa
315,Jack Harrison,eng ENG,FW,NE Revolution,29-271,1996,2,1,127,1.4,0,1,1,0,0,0,0,0,0.00,0.71,0.71,0.00,0.71,Matches,aa849a12
316,Marcel Hartel,de GER,MFFW,St. Louis City,30-211,1996,16,15,1370,15.2,6,3,9,6,0,0,0,0,0.39,0.20,0.59,0.39,0.59,Matches,614eca9b
317,Carlos Harvey,pa PAN,DF,Minnesota Utd,26-196,2000,6,1,154,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3f18600c
318,Thomas Hasal,ca CAN,GK,LAFC,27-040,1999,3,3,209,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,86bac87b
319,Stuart Hawkins,us USA,DF,Seattle Sounders,19-334,2006,4,3,277,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c7e13846
320,Silvan Hefti,ch SUI,DF,D.C. United,28-297,1997,18,18,1576,17.5,1,2,3,1,0,0,5,1,0.06,0.11,0.17,0.06,0.17,Matches,f8342731
321,Malik Henry,ca CAN,MF,Toronto FC,24-026,2002,15,5,549,6.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,c047f6aa
322,Fabian Herbers,de GER,MF,CF Montréal,33-001,1993,9,2,292,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5cbf5ccd
323,Ronald Hernández,ve VEN,DF,Atlanta Utd,28-331,1997,6,2,214,2.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,de907bab
324,Aaron Herrera,gt GUA,MF,D.C. United,29-073,1997,7,4,387,4.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d86e3070
325,Héctor Herrera,mx MEX,MF,Houston,36-121,1990,18,10,988,11.0,2,0,2,2,0,0,1,0,0.18,0.00,0.18,0.18,0.18,Matches,a8542814
326,Marcelo Herrera,ar ARG,DFMF,Columbus Crew,27-288,1998,14,9,878,9.8,0,1,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,Matches,460cfb5b
327,Lucas Herrington,au AUS,DF,Colorado Rapids,18-347,2007,18,17,1531,17.0,1,1,2,1,0,0,4,0,0.06,0.06,0.12,0.06,0.12,Matches,6f808c85
328,Son Heung-min,kr KOR,FWMF,LAFC,34-041,1992,18,17,1452,16.1,4,8,12,4,0,0,2,0,0.25,0.50,0.74,0.25,0.74,Matches,92e7e919
329,Aiden Hezarkhani,us USA,MFFW,Real Salt Lake,19-051,2007,15,8,563,6.3,2,0,2,2,0,0,1,0,0.32,0.00,0.32,0.32,0.32,Matches,2a4c41f6
330,Bode Hidalgo,us USA,DF,CF Montréal,24-177,2002,4,2,255,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,891f8b82
331,Brendan Hines-Ike,us USA,DF,Austin FC,31-261,1994,14,14,1184,13.2,1,0,1,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches,b807c1dc
332,Bongokuhle Hlongwane,za RSA,MF,Minnesota Utd,26-059,2000,14,4,507,5.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,de9952b5
333,Rob Holding,eng ENG,DF,Colorado Rapids,30-332,1995,16,15,1165,12.9,0,0,0,0,0,0,1,2,0.00,0.00,0.00,0.00,0.00,Matches,d79a8c87
334,Ryan Hollingshead,us USA,DFMF,LAFC,35-124,1991,16,11,1028,11.4,1,0,1,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matches,28b58797
335,Duane Holmes,us USA,MFDF,Houston,31-285,1994,11,7,552,6.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,47a050ed
336,Carlo Holse,dk DEN,FWMF,St. Louis City,27-077,1999,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e248e62f
337,Clay Holstad,us USA,MF,FC Dallas,26-218,2000,2,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2ee31588
338,Jackson Hopkins,us USA,MFFW,D.C. United,22-048,2004,19,17,1319,14.7,2,1,3,2,0,0,4,0,0.14,0.07,0.20,0.14,0.20,Matches,8344adf5
339,Ethan Horvath,us USA,GK,RB New York,31-070,1995,19,19,1710,19.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3f65d5ce
340,Lucas Hoyos,ar ARG,GK,Atlanta Utd,37-111,1989,19,19,1710,19.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,848cbc52
341,Keegan Hughes,us USA,DF,NE Revolution,26-027,2000,1,1,81,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3b0f3e7a
342,Iago,br BRA,DF,Orlando City,21-122,2005,14,11,1028,11.4,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,f76a981b
343,Sebastien Ibeagha,us USA,DF,FC Dallas,34-209,1992,19,13,1154,12.8,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches,41ba8175
344,Aliyu Ibrahim,ng NGA,MF,Houston,24-214,2002,13,2,271,3.0,1,0,1,1,0,0,2,1,0.33,0.00,0.33,0.33,0.33,Matches,363399b2
345,Mitja Ilenič,si SVN,DF,NYCFC,21-235,2004,2,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9694c407
346,Milan Iloski,us USA,FWMF,Philadelphia,27-020,1999,19,19,1553,17.3,10,1,11,8,2,3,3,0,0.58,0.06,0.64,0.46,0.52,Matches,4f87c75f
347,Marcus Ingvartsen,dk DEN,FW,San Diego FC,30-226,1996,19,17,1436,16.0,11,2,13,10,1,1,1,0,0.69,0.13,0.81,0.63,0.75,Matches,271b8617
348,Eric Izoita,us USA,MF,Portland Timbers,18-344,2007,1,1,90,1.0,1,0,1,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,Matches,fd67b8d3
349,Ayoub Jabbari,ma MAR,FW,FC Cincinnati,26-200,2000,17,4,403,4.5,2,2,4,2,0,0,1,0,0.45,0.45,0.89,0.45,0.89,Matches,062c4d41
350,Aziel Jackson,us USA,MF,Vancouver,24-298,2001,10,7,526,5.8,1,1,2,1,0,0,0,0,0.17,0.17,0.34,0.17,0.34,Matches,9862259f
351,Tomás Jacob,ar ARG,DFMF,Atlanta Utd,22-120,2004,16,16,1388,15.4,1,1,2,1,0,0,6,0,0.06,0.06,0.13,0.06,0.13,Matches,3264fa21
352,Ivan Jaime Pajuelo,es ESP,MFFW,CF Montréal,25-326,2000,12,10,826,9.2,1,1,2,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,Matches,90ba7fa6
353,Malik Jakupović,us USA,FW,Philadelphia,17-055,2009,4,0,64,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,595fc7dd
354,Ian James,us USA,DF,Sporting KC,18-073,2008,12,9,842,9.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3e10c876
355,Vincent Janssen,nl NED,FW,Portland Timbers,32-064,1994,1,0,15,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,31dce0c8
356,Robin Jansson,se SWE,DF,Orlando City,34-276,1991,13,13,1112,12.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,8ca5c176
357,Jack Jasinski,us USA,DF,SJ Earthquakes,22-257,2003,9,4,438,4.9,1,0,1,1,0,0,1,0,0.21,0.00,0.21,0.21,0.21,Matches,6211719a
358,Danley Jean-Jacques,ht HAI,MF,Philadelphia,26-090,2000,18,17,1499,16.7,3,0,3,3,0,0,5,0,0.18,0.00,0.18,0.18,0.18,Matches,59fcbd6d
359,Mijahir Jiménez,pa PAN,FW,RB New York,19-143,2007,3,2,160,1.8,2,0,2,2,0,0,0,0,1.13,0.00,1.13,1.13,1.13,Matches,c0fb5abf
360,Stiven Jimenez,us USA,MF,FC Cincinnati,19-055,2007,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b26a0215
361,Julio Joao Ortíz,ec ECU,MF,Portland Timbers,30-109,1996,11,4,474,5.3,0,1,1,0,0,0,0,0,0.00,0.19,0.19,0.00,0.19,Matches,97ec94a5
362,Herman Johansson,se SWE,MFDF,FC Dallas,28-306,1997,17,14,1247,13.9,0,2,2,0,0,0,3,0,0.00,0.14,0.14,0.00,0.14,Matches,6f864562
363,Aron John,us USA,MF,Charlotte,20-137,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,604300bc
364,Darius Johnson,gd GRN,MF,SJ Earthquakes,26-156,2000,3,0,63,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9f7f84be
365,Sean Johnson,us USA,GK,D.C. United,37-079,1989,19,19,1710,19.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c164335e
366,Tate Johnson,us USA,DF,Vancouver,21-039,2005,16,15,1329,14.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,eb8e36b9
367,DeJuan Jones,us USA,DF,SJ Earthquakes,29-055,1997,5,5,359,4.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,10d1139c
368,Malachi Jones,sl SLE,MF,NYCFC,22-329,2003,10,4,396,4.4,1,0,1,1,0,0,2,0,0.23,0.00,0.23,0.23,0.23,Matches,81167a59
369,Luka Jovanović,au AUS,FW,SJ Earthquakes,21-090,2005,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7efe36a7
370,Dejan Joveljić,rs SRB,FW,Sporting KC,27-011,1999,19,19,1665,18.5,8,1,9,8,0,0,1,0,0.43,0.05,0.49,0.43,0.49,Matches,95a24690
371,Mykhi Joyner,us USA,MF,St. Louis City,19-353,2006,4,1,91,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,50c9bf12
372,Preston Judd,us USA,FW,SJ Earthquakes,27-082,1999,18,17,1453,16.1,11,3,14,11,0,0,5,0,0.68,0.19,0.87,0.68,0.87,Matches,00534d73
373,Anderson Julio,ec ECU,FWMF,FC Dallas,30-079,1996,4,0,84,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f907a6a8
374,Sam Junqua,us USA,DF,Real Salt Lake,29-282,1996,14,7,770,8.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,91981d97
375,Kristijan Kahlina,hr CRO,GK,Charlotte,34-025,1992,19,19,1710,19.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,53e360bb
376,Kaick,br BRA,MF,FC Dallas,20-262,2005,19,15,1396,15.5,1,1,2,1,0,0,3,0,0.06,0.06,0.13,0.06,0.13,Matches,7703e0fe
377,Bernard Kamungo,us USA,MFDF,FC Dallas,24-229,2002,10,8,765,8.5,0,1,1,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,Matches,186acc62
378,Emir Karic,ba BIH,DF,Sporting KC,29-070,1997,5,4,393,4.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7bbb0ac4
379,Tarun Karumanchi,us USA,MF,Columbus Crew,23-139,2003,3,2,129,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,452e399b
380,Alexandros Katranis,gr GRE,MFDF,Real Salt Lake,28-106,1998,7,4,347,3.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5c041f1f
381,Kim Kee-hee,kr KOR,DF,Seattle Sounders,37-036,1989,3,2,152,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,46c6ba76
382,Kevin Kelsy,ve VEN,FW,Portland Timbers,22-022,2004,18,13,1077,12.0,9,2,11,9,0,0,2,0,0.75,0.17,0.92,0.75,0.92,Matches,136958ad
383,Deandre Kerr,ca CAN,MFFW,Toronto FC,23-272,2002,10,5,448,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a3e85f7b
384,Henry Kessler,us USA,DF,Charlotte,28-054,1998,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,23c75879
385,Hosei Kijima,jp JPN,MF,D.C. United,24-048,2002,6,1,105,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,858f1390
386,Benjamin Kikanovic,us USA,DF,SJ Earthquakes,26-224,2000,16,16,1324,14.7,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,fe11d61b
387,Peter Kingston,us USA,MFDF,Seattle Sounders,25-035,2001,14,5,502,5.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,7a798d92
388,Klauss,br BRA,FW,LA Galaxy,29-170,1997,8,7,546,6.1,5,0,5,5,0,0,0,0,0.82,0.00,0.82,0.82,0.82,Matches,f5ae006d
389,Eric Klein,us USA,MF,NE Revolution,19-271,2006,5,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,48493ede
390,Jordan Knight,ca CAN,DF,Nashville SC,24-066,2002,4,0,36,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,076ec0be
391,Ethan Kohler,us USA,DF,NE Revolution,21-090,2005,15,14,1257,14.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5e352f81
392,Žan Kolmanič,si SVN,DF,Austin FC,26-168,2000,9,2,301,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4501fd21
393,Stas Korzeniowski,us USA,FW,Philadelphia,23-200,2003,6,1,140,1.6,0,1,1,0,0,0,0,0,0.00,0.64,0.64,0.00,0.64,Matches,1c3655bc
394,Arif Kovac,us USA,FW,Atlanta Utd,19-344,2006,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ed200505
395,Theodore Ku-Dipietro,us USA,FWMF,Colorado Rapids,24-202,2002,4,0,95,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ef7c10e0
396,Willy Kumado,gh GHA,MF,San Diego FC,23-306,2002,2,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,291b879c
397,Keisuke Kurokawa,jp JPN,DF,D.C. United,29-127,1997,19,19,1697,18.9,0,3,3,0,0,0,4,0,0.00,0.16,0.16,0.00,0.16,Matches,dddab740
398,Benjamín Kuscevic,cl CHI,DF,Toronto FC,30-108,1996,7,7,559,6.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,9edddc34
399,Ezekiel Kwame Alladoh,gh GHA,FW,Philadelphia,20-339,2005,16,5,613,6.8,1,1,2,1,0,0,1,1,0.15,0.15,0.29,0.15,0.29,Matches,f8406838
400,Luca de la Torre,us USA,MF,Charlotte,28-087,1998,15,8,676,7.5,0,1,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,Matches,e9241b40
401,Mathías Laborda,uy URU,DF,Vancouver,26-337,1999,17,16,1462,16.2,3,2,5,3,0,0,2,0,0.18,0.12,0.31,0.18,0.31,Matches,37295115
402,Ayoub Lajhar,,DF,FC Cincinnati,22-039,2004,4,0,23,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2558c8ea
403,Luca Langoni,ar ARG,MFFW,NE Revolution,24-190,2002,15,10,882,9.8,3,6,9,3,0,0,1,0,0.31,0.61,0.92,0.31,0.92,Matches,b9532512
404,Oliver Larraz,us USA,MF,Vancouver,24-336,2001,13,6,515,5.7,0,2,2,0,0,0,3,0,0.00,0.35,0.35,0.00,0.35,Matches,ecdbe767
405,Richie Laryea,ca CAN,DFMF,Toronto FC,31-223,1995,14,14,1260,14.0,2,1,3,2,0,0,3,0,0.14,0.07,0.21,0.14,0.21,Matches,276fdbe4
406,Ariel Lassiter,cr CRC,MFFW,Portland Timbers,31-325,1994,14,5,460,5.1,2,2,4,2,0,0,1,0,0.39,0.39,0.78,0.39,0.78,Matches,bd7b916c
407,Emmanuel Latte Lath,ci CIV,FW,Atlanta Utd,27-229,1999,14,10,907,10.1,2,2,4,2,0,0,2,0,0.20,0.20,0.40,0.20,0.40,Matches,1c9cfad4
408,Brooks Lennon,us USA,DF,Columbus Crew,28-330,1997,2,1,95,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ec80ba72
409,Beau Leroux,us USA,MF,SJ Earthquakes,22-352,2003,18,17,1431,15.9,3,3,6,3,0,1,3,0,0.19,0.19,0.38,0.19,0.38,Matches,6a9ab308
410,Robert Lewandowski,pl POL,FW,Chicago Fire,37-362,1988,4,3,255,2.8,2,0,2,2,0,0,1,0,0.71,0.00,0.71,0.71,0.71,Matches,8d78e732
411,Ondřej Lingr,cz CZE,FWMF,Houston,27-315,1998,17,4,421,4.7,0,1,1,0,0,0,0,1,0.00,0.21,0.21,0.00,0.21,Matches,66a7effe
412,Hugo Lloris,fr FRA,GK,LAFC,39-235,1986,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8f62b6ee
413,Saba Lobzhanidze,ge GEO,FWMF,Atlanta Utd,31-243,1994,13,8,630,7.0,2,0,2,2,0,0,0,0,0.29,0.00,0.29,0.29,0.29,Matches,84d6ce13
414,Saba Lobzhanidze,ge GEO,FWMF,Real Salt Lake,31-243,1994,4,0,106,1.2,0,2,2,0,0,0,0,0,0.00,1.70,1.70,0.00,1.70,Matches,84d6ce13
415,Robin Lod,fi FIN,MFFW,Chicago Fire,33-123,1993,17,13,1132,12.6,4,1,5,4,0,0,2,0,0.32,0.08,0.40,0.32,0.40,Matches,33c69aa0
416,Aaron Long,us USA,DF,LAFC,33-310,1992,7,7,532,5.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,46b89640
417,Matthew Longstaff,eng ENG,MF,CF Montréal,26-150,2000,19,17,1469,16.3,2,3,5,2,0,0,4,0,0.12,0.18,0.31,0.12,0.31,Matches,c0027d2d
418,Antino Lopez,us USA,DF,Seattle Sounders,24-089,2002,11,7,655,7.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7b02a7e1
419,Victor Loturi,ca CAN,MF,CF Montréal,25-089,2001,19,18,1553,17.3,1,1,2,1,0,0,3,0,0.06,0.06,0.12,0.06,0.12,Matches,6bc235e5
420,Ricardo Louis,ht HAI,MF,FC Dallas,21-318,2004,1,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,897dec3e
421,Evan Louro,us USA,GK,FC Cincinnati,30-211,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,95c5f7c1
422,Daniel Lovitz,us USA,DF,Nashville SC,34-356,1991,19,15,1381,15.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,db97d838
423,Eduard Löwen,de GER,MFFW,St. Louis City,29-202,1997,12,7,573,6.4,2,2,4,1,1,1,1,0,0.31,0.31,0.63,0.16,0.47,Matches,70678132
424,Hirving Lozano,mx MEX,FWMF,LA Galaxy,31-019,1995,1,0,26,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a69e4806
425,Luighi,br BRA,FW,NYCFC,20-110,2006,1,1,66,0.7,1,0,1,0,1,1,1,0,1.36,0.00,1.36,0.00,0.00,Matches,f6202ded
426,Gonzalo Luján,ar ARG,DF,Inter Miami,25-113,2001,14,10,929,10.3,1,0,1,1,0,0,3,0,0.10,0.00,0.10,0.10,0.10,Matches,209aad11
427,Jovan Lukić,rs SRB,MF,Philadelphia,24-210,2002,18,16,1334,14.8,0,1,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,Matches,90268125
428,Diego Luna,us USA,MFFW,Real Salt Lake,22-345,2003,13,10,917,10.2,4,2,6,4,0,0,3,0,0.39,0.20,0.59,0.39,0.59,Matches,e67f8af0
429,Benjamin Lundt,de GER,GK,St. Louis City,30-328,1995,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,abe9908a
430,Lukas MacNaughton,ca CAN,DF,St. Louis City,31-163,1995,16,8,808,9.0,1,1,2,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,Matches,b6111d16
431,Warren Madrigal,cr CRC,FWMF,Nashville SC,22-025,2004,15,10,833,9.3,5,2,7,5,0,0,0,0,0.54,0.22,0.76,0.54,0.76,Matches,b4adf12d
432,Talles Magno,br BRA,FW,NYCFC,24-053,2002,14,2,388,4.3,2,1,3,2,0,0,1,0,0.46,0.23,0.70,0.46,0.70,Matches,64c98878
433,Jack Maher,us USA,DF,Nashville SC,26-294,1999,8,6,543,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0c6f2fa6
434,Olwethu Makhanya,za RSA,DF,Philadelphia,22-110,2004,13,13,1169,13.0,0,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matches,1627e6b5
435,Juan Manuel Sanabria,uy URU,MF,Real Salt Lake,26-142,2000,15,14,1254,13.9,1,4,5,1,0,0,2,0,0.07,0.29,0.36,0.07,0.36,Matches,f1d74479
436,Alexis Manyoma,co COL,MF,Colorado Rapids,23-227,2003,11,2,240,2.7,1,0,1,1,0,0,1,0,0.37,0.00,0.37,0.37,0.37,Matches,6e159787
437,J.T. Marcinkowski,us USA,GK,LA Galaxy,29-101,1997,15,15,1350,15.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,977791f4
438,Dominik Marczuk,pl POL,MF,Real Salt Lake,22-290,2003,10,1,265,2.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,dc010d26
439,Paul Marie,fr FRA,MF,SJ Earthquakes,31-147,1995,13,2,265,2.9,0,4,4,0,0,0,0,0,0.00,1.36,1.36,0.00,1.36,Matches,da0bb55a
440,Adrián Marín,es ESP,DF,Orlando City,29-221,1997,17,12,1128,12.5,0,3,3,0,0,0,3,0,0.00,0.24,0.24,0.00,0.24,Matches,b7f2edff
441,Anthony Markanich,ph PHI,MFDF,Minnesota Utd,26-235,1999,19,18,1512,16.8,4,1,5,4,0,0,2,0,0.24,0.06,0.30,0.24,0.30,Matches,565fde4a
442,Nick Markanich,us USA,FW,Houston,26-235,1999,6,1,92,1.0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,65988c73
443,Nikola Marković,ca CAN,MFDF,D.C. United,22-027,2004,13,2,325,3.6,0,1,1,0,0,0,1,0,0.00,0.28,0.28,0.00,0.28,Matches,74a841d9
444,Idan Markovich,il ISR,FW,Charlotte,22-009,2004,19,17,1405,15.6,5,2,7,5,0,1,1,0,0.32,0.13,0.45,0.32,0.45,Matches,dd97f441
